Handle,Title,Recommendable (product.metafields.calculator.recommendable),System Type (product.metafields.calculator.system_type),Zone Count (product.metafields.calculator.zone_count),Unit Type (product.metafields.calculator.unit_type),Series (product.metafields.calculator.series),Nominal BTU (product.metafields.calculator.nominal_btu),Outdoor Capacity BTU (product.metafields.calculator.outdoor_capacity_btu),Head Configuration (product.metafields.calculator.head_configuration),Head Vector Key (product.metafields.calculator.head_vector_key),Connected Head Total BTU (product.metafields.calculator.connected_head_total_btu),Connected Capacity Ratio (product.metafields.calculator.connected_capacity_ratio),Climate Min F (product.metafields.calculator.climate_min_f),Climate Max F (product.metafields.calculator.climate_max_f),Climate Tier (product.metafields.calculator.climate_tier),SEER2 (product.metafields.calculator.seer2),Refrigerant (product.metafields.calculator.refrigerant),Merchandising Priority (product.metafields.calculator.merchandising_priority),Data Quality Score (product.metafields.calculator.data_quality_score),Voltage Policy (product.metafields.calculator.voltage_policy),Heating Sizing Supported (product.metafields.calculator.heating_sizing_supported)
18000-btu-dual-zone-ceiling-cassette-mini-split-ac-12k-12k-up-to-1100-sq-ft,DELLA 18000 BTU Dual Zone Ceiling Cassette Mini Split AC (12K + 12K) - Up to 1100 Sq.Ft.,TRUE,multi_zone,2,ceiling_cassette,Ceiling Cassette,18000,18000,12K+12K,12000-12000,24000,1.3333,-13,131,cold,24.0,R454B,50,100,check_product_page,FALSE
18000-btu-dual-zone-ceiling-cassette-mini-split-ac-9k-12k-up-to-950-sq-ft,DELLA 18000 BTU Dual Zone Ceiling Cassette Mini Split AC (9K + 12K) - Up to 950 Sq.Ft.,TRUE,multi_zone,2,ceiling_cassette,Ceiling Cassette,18000,18000,9K+12K,9000-12000,21000,1.1667,-13,131,cold,24.0,R454B,50,100,check_product_page,FALSE
18000-btu-dual-zone-ceiling-cassette-mini-split-ac-9k-9k-up-to-800-sq-ft,DELLA 18000 BTU Dual Zone Ceiling Cassette Mini Split AC (9K + 9K) - Up to 800 Sq.Ft.,TRUE,multi_zone,2,ceiling_cassette,Ceiling Cassette,18000,18000,9K+9K,9000-9000,18000,1.0,-13,131,cold,24.0,R454B,50,100,check_product_page,FALSE
27000-btu-dual-zone-ceiling-cassette-mini-split-ac-12k-12k-up-to-1100-sq-ft,DELLA 27000 BTU Dual Zone Ceiling Cassette Mini Split AC (12K + 12K) - Up to 1100 Sq.Ft.,TRUE,multi_zone,2,ceiling_cassette,Ceiling Cassette,27000,27000,12K+12K,12000-12000,24000,0.8889,-13,131,cold,24.0,R454B,50,100,check_product_page,FALSE
27000-btu-dual-zone-ceiling-cassette-mini-split-ac-12k-18k-up-to-1550-sq-ft,DELLA 27000 BTU Dual Zone Ceiling Cassette Mini Split AC (12K + 18K) - Up to 1550 Sq.Ft.,TRUE,multi_zone,2,ceiling_cassette,Ceiling Cassette,27000,27000,12K+18K,12000-18000,30000,1.1111,-13,131,cold,24.0,R454B,50,100,check_product_page,FALSE
27000-btu-dual-zone-ceiling-cassette-mini-split-ac-18k-18k-up-to-2000-sq-ft,DELLA 27000 BTU Dual Zone Ceiling Cassette Mini Split AC (18K + 18K) - Up to 2000 Sq.Ft.,TRUE,multi_zone,2,ceiling_cassette,Ceiling Cassette,27000,27000,18K+18K,18000-18000,36000,1.3333,-13,131,cold,24.0,R454B,50,100,check_product_page,FALSE
27000-btu-dual-zone-ceiling-cassette-mini-split-ac-9k-12k-up-to-950-sq-ft,DELLA 27000 BTU Dual Zone Ceiling Cassette Mini Split AC (9K + 12K) - Up to 950 Sq.Ft.,TRUE,multi_zone,2,ceiling_cassette,Ceiling Cassette,27000,27000,9K+12K,9000-12000,21000,0.7778,-13,131,cold,24.0,R454B,50,100,check_product_page,FALSE
27000-btu-dual-zone-ceiling-cassette-mini-split-ac-9k-18k-up-to-1400-sq-ft,DELLA 27000 BTU Dual Zone Ceiling Cassette Mini Split AC (9K + 18K) - Up to 1400 Sq.Ft.,TRUE,multi_zone,2,ceiling_cassette,Ceiling Cassette,27000,27000,9K+18K,9000-18000,27000,1.0,-13,131,cold,24.0,R454B,50,100,check_product_page,FALSE
27000-btu-tri-zone-ceiling-cassette-mini-split-ac-12k-12k-12k-up-to-1650-sq-ft,DELLA 27000 BTU Tri-Zone Ceiling Cassette Mini Split AC (12K+12K+12K) - Up to 1650 Sq.Ft.,TRUE,multi_zone,3,ceiling_cassette,Ceiling Cassette,27000,27000,12K+12K+12K,12000-12000-12000,36000,1.3333,-13,131,cold,24.0,R454B,50,100,check_product_page,FALSE
27000-btu-tri-zone-ceiling-cassette-mini-split-ac-9k-12k-12k-up-to-1500-sq-ft,DELLA 27000 BTU Tri-Zone Ceiling Cassette Mini Split AC (9K+12K+12K) - Up to 1500 Sq.Ft.,TRUE,multi_zone,3,ceiling_cassette,Ceiling Cassette,27000,27000,9K+12K+12K,9000-12000-12000,33000,1.2222,-13,131,cold,24.0,R454B,50,100,check_product_page,FALSE
27000-btu-tri-zone-ceiling-cassette-mini-split-ac-9k-9k-12k-up-to-1350-sq-ft,DELLA 27000 BTU Tri-Zone Ceiling Cassette Mini Split AC (9K+9K+12K) - Up to 1350 Sq.Ft.,TRUE,multi_zone,3,ceiling_cassette,Ceiling Cassette,27000,27000,9K+9K+12K,9000-9000-12000,30000,1.1111,-13,131,cold,24.0,R454B,50,100,check_product_page,FALSE
27000-btu-tri-zone-ceiling-cassette-mini-split-ac-9k-9k-18k-up-to-1800-sq-ft,DELLA 27000 BTU Tri-Zone Ceiling Cassette Mini Split AC (9K+9K+18K) - Up to 1800 Sq.Ft.,TRUE,multi_zone,3,ceiling_cassette,Ceiling Cassette,27000,27000,9K+9K+18K,9000-9000-18000,36000,1.3333,-13,131,cold,24.0,R454B,50,100,check_product_page,FALSE
27000-btu-tri-zone-ceiling-cassette-mini-split-ac-9k-9k-9k-up-to-1200-sq-ft,DELLA 27000 BTU Tri-Zone Ceiling Cassette Mini Split AC (9K+9K+9K) - Up to 1200 Sq.Ft.,TRUE,multi_zone,3,ceiling_cassette,Ceiling Cassette,27000,27000,9K+9K+9K,9000-9000-9000,27000,1.0,-13,131,cold,24.0,R454B,50,100,check_product_page,FALSE
35000-btu-dual-zone-ceiling-cassette-mini-split-ac-12k-18k-up-to-1550-sq-ft,DELLA 35000 BTU Dual Zone Ceiling Cassette Mini Split AC (12K+18K) - Up to 1550 Sq.Ft.,TRUE,multi_zone,2,ceiling_cassette,Ceiling Cassette,35000,35000,12K+18K,12000-18000,30000,0.8571,-13,131,cold,22.5,R454B,50,100,check_product_page,FALSE
35000-btu-dual-zone-ceiling-cassette-mini-split-ac-12k-23k-up-to-2050-sq-ft,DELLA 35000 BTU Dual Zone Ceiling Cassette Mini Split AC (12K+23K) - Up to 2050 Sq.Ft.,TRUE,multi_zone,2,ceiling_cassette,Ceiling Cassette,35000,35000,12K+23K,12000-23000,35000,1.0,-13,131,cold,22.5,R454B,50,100,check_product_page,FALSE
35000-btu-dual-zone-ceiling-cassette-mini-split-ac-18k-18k-up-to-2000-sq-ft,DELLA 35000 BTU Dual Zone Ceiling Cassette Mini Split AC (18K+18K) - Up to 2000 Sq.Ft.,TRUE,multi_zone,2,ceiling_cassette,Ceiling Cassette,35000,35000,18K+18K,18000-18000,36000,1.0286,-13,131,cold,22.5,R454B,50,100,check_product_page,FALSE
35000-btu-dual-zone-ceiling-cassette-mini-split-ac-18k-23k-up-to-2500-sq-ft,DELLA 35000 BTU Dual Zone Ceiling Cassette Mini Split AC (18K+23K) - Up to 2500 Sq.Ft.,TRUE,multi_zone,2,ceiling_cassette,Ceiling Cassette,35000,35000,18K+23K,18000-23000,41000,1.1714,-13,131,cold,22.5,R454B,50,100,check_product_page,FALSE
35000-btu-dual-zone-ceiling-cassette-mini-split-ac-23k-23k-up-to-3000-sq-ft,DELLA 35000 BTU Dual Zone Ceiling Cassette Mini Split AC (23K+23K) - Up to 3000 Sq.Ft.,TRUE,multi_zone,2,ceiling_cassette,Ceiling Cassette,35000,35000,23K+23K,23000-23000,46000,1.3143,-13,131,cold,22.5,R454B,50,100,check_product_page,FALSE
35000-btu-dual-zone-ceiling-cassette-mini-split-ac-9k-23k-up-to-1900-sq-ft,DELLA 35000 BTU Dual Zone Ceiling Cassette Mini Split AC (9K+23K) - Up to 1900 Sq.Ft.,TRUE,multi_zone,2,ceiling_cassette,Ceiling Cassette,35000,35000,9K+23K,9000-23000,32000,0.9143,-13,131,cold,22.5,R454B,50,100,check_product_page,FALSE
35000-btu-quad-zone-ceiling-cassette-mini-split-ac-9k-12k-12k-12k-up-to-2050-sq-ft,DELLA 35000 BTU Quad Zone Ceiling Cassette Mini Split AC (9K+12K+12K+12K) - Up to 2050 Sq.Ft.,TRUE,multi_zone,4,ceiling_cassette,Ceiling Cassette,35000,35000,9K+12K+12K+12K,9000-12000-12000-12000,45000,1.2857,-13,131,cold,22.5,R454B,50,100,check_product_page,FALSE
